+1.00000000000e+00 +6.33713107215e-02 0.0 3.78369546667e-05
+2.00000000000e+00 +1.44577642493e-01 0.0 1.20865422902e-04
+3.00000000000e+00 +2.51824506692e-01 0.0 2.56618760202e-04
+4.00000000000e+00 +3.31545011750e-01 0.0 4.41171477669e-04
+5.00000000000e+00 +3.98582892282e-01 0.0 6.69412637547e-04
+6.00000000000e+00 +4.59482949153e-01 0.0 1.05880393429e-03
+7.00000000000e+00 +5.15538066799e-01 0.0 1.67403644680e-03
+8.00000000000e+00 +5.68026108073e-01 0.0 2.56413283911e-03
+9.00000000000e+00 +6.17446547869e-01 0.0 3.82281996304e-03
+1.00000000000e+01 +6.65424320744e-01 0.0 5.27638975817e-03
